nome, url, hf_hub_id, arquitetura, num_param, escala, tipo_treinamento, dataset
convformer_b36.sail_in1k,,timm/convformer_b36.sail_in1k,convformer_b36,99882616,base,TRAINING_TYPE,ImageNet-1K
convformer_b36.sail_in1k_384,,timm/convformer_b36.sail_in1k_384,convformer_b36,99882616,base,TRAINING_TYPE,ImageNet-1K
convformer_b36.sail_in22k,,timm/convformer_b36.sail_in22k,convformer_b36,163927009,large,TRAINING_TYPE,DATASET
convformer_b36.sail_in22k_ft_in1k,,timm/convformer_b36.sail_in22k_ft_in1k,convformer_b36,99882616,base,TRAINING_TYPE,ImageNet-1K
convformer_b36.sail_in22k_ft_in1k_384,,timm/convformer_b36.sail_in22k_ft_in1k_384,convformer_b36,99882616,base,TRAINING_TYPE,ImageNet-1K
convformer_m36.sail_in1k,,timm/convformer_m36.sail_in1k,convformer_m36,57051640,base,TRAINING_TYPE,ImageNet-1K
convformer_m36.sail_in1k_384,,timm/convformer_m36.sail_in1k_384,convformer_m36,57051640,base,TRAINING_TYPE,ImageNet-1K
convformer_m36.sail_in22k,,timm/convformer_m36.sail_in22k,convformer_m36,105090145,large,TRAINING_TYPE,DATASET
convformer_m36.sail_in22k_ft_in1k,,timm/convformer_m36.sail_in22k_ft_in1k,convformer_m36,57051640,base,TRAINING_TYPE,ImageNet-1K
convformer_m36.sail_in22k_ft_in1k_384,,timm/convformer_m36.sail_in22k_ft_in1k_384,convformer_m36,57051640,base,TRAINING_TYPE,ImageNet-1K
convformer_s18.sail_in1k,,timm/convformer_s18.sail_in1k,convformer_s18,26774448,small,TRAINING_TYPE,ImageNet-1K
convformer_s18.sail_in1k_384,,timm/convformer_s18.sail_in1k_384,convformer_s18,26774448,small,TRAINING_TYPE,ImageNet-1K
convformer_s18.sail_in22k,,timm/convformer_s18.sail_in22k,convformer_s18,69477657,base,TRAINING_TYPE,DATASET
convformer_s18.sail_in22k_ft_in1k,,timm/convformer_s18.sail_in22k_ft_in1k,convformer_s18,26774448,small,TRAINING_TYPE,ImageNet-1K
convformer_s18.sail_in22k_ft_in1k_384,,timm/convformer_s18.sail_in22k_ft_in1k_384,convformer_s18,26774448,small,TRAINING_TYPE,ImageNet-1K
convformer_s36.sail_in1k,,timm/convformer_s36.sail_in1k,convformer_s36,40012152,base,TRAINING_TYPE,ImageNet-1K
convformer_s36.sail_in1k_384,,timm/convformer_s36.sail_in1k_384,convformer_s36,40012152,base,TRAINING_TYPE,ImageNet-1K
convformer_s36.sail_in22k,,timm/convformer_s36.sail_in22k,convformer_s36,82715361,base,TRAINING_TYPE,DATASET
convformer_s36.sail_in22k_ft_in1k,,timm/convformer_s36.sail_in22k_ft_in1k,convformer_s36,40012152,base,TRAINING_TYPE,ImageNet-1K
convformer_s36.sail_in22k_ft_in1k_384,,timm/convformer_s36.sail_in22k_ft_in1k_384,convformer_s36,40012152,base,TRAINING_TYPE,ImageNet-1K
convit_base.fb_in1k,,timm/convit_base.fb_in1k,convit_base,86540040,base,TRAINING_TYPE,ImageNet-1K
convit_small.fb_in1k,,timm/convit_small.fb_in1k,convit_small,27777322,small,TRAINING_TYPE,ImageNet-1K
convit_tiny.fb_in1k,,timm/convit_tiny.fb_in1k,convit_tiny,5710512,tiny,TRAINING_TYPE,ImageNet-1K
convmixer_768_32.in1k,,timm/convmixer_768_32.in1k,convmixer_768_32,21110248,small,TRAINING_TYPE,ImageNet-1K
convmixer_1024_20_ks9_p14.in1k,,timm/convmixer_1024_20_ks9_p14.in1k,convmixer_1024_20_ks9_p14,24383464,small,TRAINING_TYPE,ImageNet-1K
convmixer_1536_20.in1k,,timm/convmixer_1536_20.in1k,convmixer_1536_20,51625960,base,TRAINING_TYPE,ImageNet-1K
convnext_atto.d2_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rsb-weights/convnext_atto_d2-01bb0f51.pth,timm/convnext_atto.d2_in1k,convnext_atto,3695520,tiny,TRAINING_TYPE,ImageNet-1K
convnext_atto_ols.a2_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rsb-weights/convnext_atto_ols_a2-78d1c8f3.pth,timm/convnext_atto_ols.a2_in1k,convnext_atto_ols,3702912,tiny,TRAINING_TYPE,ImageNet-1K
convnext_base.clip_laion2b,,timm/convnext_base.clip_laion2b,convnext_base,88222464,base,TRAINING_TYPE,DATASET
convnext_base.clip_laion2b_augreg,,timm/convnext_base.clip_laion2b_augreg,convnext_base,88222464,base,TRAINING_TYPE,DATASET
convnext_base.clip_laion2b_augreg_ft_in1k,,timm/convnext_base.clip_laion2b_augreg_ft_in1k,convnext_base,88591464,base,TRAINING_TYPE,ImageNet-1K
convnext_base.clip_laion2b_augreg_ft_in12k,,timm/convnext_base.clip_laion2b_augreg_ft_in12k,convnext_base,99682989,base,TRAINING_TYPE,DATASET
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,,timm/convnext_base.clip_laion2b_augreg_ft_in12k_in1k,convnext_base,88591464,base,TRAINING_TYPE,ImageNet-1K
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,,timm/convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,convnext_base,88591464,base,TRAINING_TYPE,ImageNet-1K
convnext_base.clip_laiona,,timm/convnext_base.clip_laiona,convnext_base,88222464,base,TRAINING_TYPE,DATASET
convnext_base.clip_laiona_320,,timm/convnext_base.clip_laiona_320,convnext_base,88222464,base,TRAINING_TYPE,DATASET
convnext_base.clip_laiona_augreg_320,,timm/convnext_base.clip_laiona_augreg_320,convnext_base,88222464,base,TRAINING_TYPE,DATASET
convnext_base.clip_laiona_augreg_ft_in1k_384,,timm/convnext_base.clip_laiona_augreg_ft_in1k_384,convnext_base,88591464,base,TRAINING_TYPE,ImageNet-1K
convnext_base.dinov3_lvd1689m,,timm/convnext_base.dinov3_lvd1689m,convnext_base,87566464,base,TRAINING_TYPE,DATASET
convnext_base.fb_in1k,https://dl.fbaipublicfiles.com/convnext/convnext_base_1k_224_ema.pth,timm/convnext_base.fb_in1k,convnext_base,88591464,base,TRAINING_TYPE,ImageNet-1K
convnext_base.fb_in22k,https://dl.fbaipublicfiles.com/convnext/convnext_base_22k_224.pth,timm/convnext_base.fb_in22k,convnext_base,109953489,large,TRAINING_TYPE,DATASET
convnext_base.fb_in22k_ft_in1k,https://dl.fbaipublicfiles.com/convnext/convnext_base_22k_1k_224.pth,timm/convnext_base.fb_in22k_ft_in1k,convnext_base,88591464,base,TRAINING_TYPE,ImageNet-1K
convnext_base.fb_in22k_ft_in1k_384,https://dl.fbaipublicfiles.com/convnext/convnext_base_22k_1k_384.pth,timm/convnext_base.fb_in22k_ft_in1k_384,convnext_base,88591464,base,TRAINING_TYPE,ImageNet-1K
convnext_femto.d1_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rsb-weights/convnext_femto_d1-d71d5b4c.pth,timm/convnext_femto.d1_in1k,convnext_femto,5217784,tiny,TRAINING_TYPE,ImageNet-1K
convnext_femto_ols.d1_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rsb-weights/convnext_femto_ols_d1-246bf2ed.pth,timm/convnext_femto_ols.d1_in1k,convnext_femto_ols,5226520,tiny,TRAINING_TYPE,ImageNet-1K
convnext_large.dinov3_lvd1689m,,timm/convnext_large.dinov3_lvd1689m,convnext_large,196230336,large,TRAINING_TYPE,DATASET
convnext_large.fb_in1k,https://dl.fbaipublicfiles.com/convnext/convnext_large_1k_224_ema.pth,timm/convnext_large.fb_in1k,convnext_large,197767336,large,TRAINING_TYPE,ImageNet-1K
convnext_large.fb_in22k,https://dl.fbaipublicfiles.com/convnext/convnext_large_22k_224.pth,timm/convnext_large.fb_in22k,convnext_large,229799953,large,TRAINING_TYPE,DATASET
convnext_large.fb_in22k_ft_in1k,https://dl.fbaipublicfiles.com/convnext/convnext_large_22k_1k_224.pth,timm/convnext_large.fb_in22k_ft_in1k,convnext_large,197767336,large,TRAINING_TYPE,ImageNet-1K
convnext_large.fb_in22k_ft_in1k_384,https://dl.fbaipublicfiles.com/convnext/convnext_large_22k_1k_384.pth,timm/convnext_large.fb_in22k_ft_in1k_384,convnext_large,197767336,large,TRAINING_TYPE,ImageNet-1K
convnext_large_mlp.clip_laion2b_augreg,,timm/convnext_large_mlp.clip_laion2b_augreg,convnext_large_mlp,199771584,large,TRAINING_TYPE,DATASET
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,,timm/convnext_large_mlp.clip_laion2b_augreg_ft_in1k,convnext_large_mlp,200128168,large,TRAINING_TYPE,ImageNet-1K
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,,timm/convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,convnext_large_mlp,200128168,large,TRAINING_TYPE,ImageNet-1K
convnext_large_mlp.clip_laion2b_augreg_ft_in12k_384,,timm/convnext_large_mlp.clip_laion2b_augreg_ft_in12k_384,convnext_large_mlp,216760045,large,TRAINING_TYPE,DATASET
convnext_large_mlp.clip_laion2b_ft_320,,timm/convnext_large_mlp.clip_laion2b_ft_320,convnext_large_mlp,199771584,large,TRAINING_TYPE,DATASET
convnext_large_mlp.clip_laion2b_ft_soup_320,,timm/convnext_large_mlp.clip_laion2b_ft_soup_320,convnext_large_mlp,199771584,large,TRAINING_TYPE,DATASET
convnext_large_mlp.clip_laion2b_soup_ft_in12k_320,,timm/convnext_large_mlp.clip_laion2b_soup_ft_in12k_320,convnext_large_mlp,216760045,large,TRAINING_TYPE,DATASET
convnext_large_mlp.clip_laion2b_soup_ft_in12k_384,,timm/convnext_large_mlp.clip_laion2b_soup_ft_in12k_384,convnext_large_mlp,216760045,large,TRAINING_TYPE,DATASET
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,,timm/convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,convnext_large_mlp,200128168,large,TRAINING_TYPE,ImageNet-1K
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,,timm/convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,convnext_large_mlp,200128168,large,TRAINING_TYPE,ImageNet-1K
convnext_nano.d1h_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rsb-weights/convnext_nano_d1h-7eb4bdea.pth,timm/convnext_nano.d1h_in1k,convnext_nano,15593560,small,TRAINING_TYPE,ImageNet-1K
convnext_nano.in12k,,timm/convnext_nano.in12k,convnext_nano,22529821,small,TRAINING_TYPE,DATASET
convnext_nano.in12k_ft_in1k,,timm/convnext_nano.in12k_ft_in1k,convnext_nano,15593560,small,TRAINING_TYPE,ImageNet-1K
convnext_nano.r384_ad_in12k,,timm/convnext_nano.r384_ad_in12k,convnext_nano,22529821,small,TRAINING_TYPE,DATASET
convnext_nano.r384_in12k,,timm/convnext_nano.r384_in12k,convnext_nano,22529821,small,TRAINING_TYPE,DATASET
convnext_nano.r384_in12k_ft_in1k,,timm/convnext_nano.r384_in12k_ft_in1k,convnext_nano,15593560,small,TRAINING_TYPE,ImageNet-1K
